algoritmo,versao,threads,tamanhoEntrada,tipoEntrada,mediaMs,menorMs,maiorMs,speedup,eficiencia,todosOrdenadosCorretamente
Insertion Sort,Serial,1,5000,QUASE_ORDENADA,0.12556000000000003,0.1149,0.1441,1.0,1.0,true
Quick Sort,Serial,1,5000,QUASE_ORDENADA,0.16916000000000003,0.155,0.1764,1.0,1.0,true
Merge Sort,Serial,1,5000,QUASE_ORDENADA,0.14632,0.1393,0.1534,1.0,1.0,true
Bubble Sort,Paralelo,1,5000,QUASE_ORDENADA,4.17234,4.0699,4.3699,0.9902117277115479,0.9902117277115479,true
Bubble Sort,Paralelo,2,5000,QUASE_ORDENADA,1.39796,1.3192,1.4953,2.9553778362757157,1.4776889181378579,true
Bubble Sort,Paralelo,4,5000,QUASE_ORDENADA,0.60124,0.5601,0.6495,6.87163196061473,1.7179079901536825,true
Bubble Sort,Paralelo,8,5000,QUASE_ORDENADA,1.5815000000000001,0.7331,3.3035,2.6123932975023707,0.32654916218779634,true
Insertion Sort,Paralelo,1,5000,QUASE_ORDENADA,0.12812,0.1197,0.14,0.9800187324383393,0.9800187324383393,true
Insertion Sort,Paralelo,2,5000,QUASE_ORDENADA,0.24676,0.2101,0.281,0.5088344950559249,0.25441724752796246,true
Insertion Sort,Paralelo,4,5000,QUASE_ORDENADA,0.39193999999999996,0.3294,0.4748,0.32035515640149015,0.08008878910037254,true
Insertion Sort,Paralelo,8,5000,QUASE_ORDENADA,0.61254,0.5346,0.7124,0.20498253175302844,0.025622816469128555,true
Quick Sort,Paralelo,1,5000,QUASE_ORDENADA,0.36478,0.3088,0.4241,0.46373156423049516,0.46373156423049516,true
Quick Sort,Paralelo,2,5000,QUASE_ORDENADA,0.38984,0.3399,0.4858,0.4339216088651755,0.21696080443258775,true
Quick Sort,Paralelo,4,5000,QUASE_ORDENADA,0.33234,0.3201,0.3539,0.508996810495276,0.127249202623819,true
Quick Sort,Paralelo,8,5000,QUASE_ORDENADA,0.39442000000000005,0.3259,0.5104,0.42888291668779477,0.053610364585974346,true
Merge Sort,Paralelo,1,5000,QUASE_ORDENADA,0.3181,0.2856,0.3941,0.4599811380069161,0.4599811380069161,true
Merge Sort,Paralelo,2,5000,QUASE_ORDENADA,0.29838,0.2644,0.3469,0.490381392854749,0.2451906964273745,true
Merge Sort,Paralelo,4,5000,QUASE_ORDENADA,0.30852,0.2528,0.398,0.47426422922338907,0.11856605730584727,true
Merge Sort,Paralelo,8,5000,QUASE_ORDENADA,0.35963999999999996,0.2943,0.5009,0.4068512957401847,0.05085641196752309,true
Bubble Sort,Serial,1,10000,QUASE_ORDENADA,16.86572,16.3393,17.3324,1.0,1.0,true
Insertion Sort,Serial,1,10000,QUASE_ORDENADA,0.50876,0.4726,0.5538,1.0,1.0,true
Quick Sort,Serial,1,10000,QUASE_ORDENADA,0.41340000000000005,0.361,0.5177,1.0,1.0,true
Merge Sort,Serial,1,10000,QUASE_ORDENADA,0.33924000000000004,0.2909,0.4035,1.0,1.0,true
Bubble Sort,Paralelo,1,10000,QUASE_ORDENADA,17.41136,16.8336,19.1843,0.9686618391670726,0.9686618391670726,true
Bubble Sort,Paralelo,2,10000,QUASE_ORDENADA,5.17444,5.0913,5.371,3.259429039664196,1.629714519832098,true
Bubble Sort,Paralelo,4,10000,QUASE_ORDENADA,1.9000400000000002,1.5177,3.2545,8.876507862992357,2.219126965748089,true
Bubble Sort,Paralelo,8,10000,QUASE_ORDENADA,1.24086,1.1108,1.3556,13.591960414551197,1.6989950518188996,true
Insertion Sort,Paralelo,1,10000,QUASE_ORDENADA,0.5130399999999999,0.4816,0.5616,0.9916575705598005,0.9916575705598005,true
Insertion Sort,Paralelo,2,10000,QUASE_ORDENADA,0.48346,0.4005,0.5821,1.0523311132254995,0.5261655566127498,true
Insertion Sort,Paralelo,4,10000,QUASE_ORDENADA,0.47008,0.409,0.5443,1.082283866575902,0.2705709666439755,true
Insertion Sort,Paralelo,8,10000,QUASE_ORDENADA,0.6957000000000001,0.5118,0.8948,0.7312922236596233,0.09141152795745291,true
Quick Sort,Paralelo,1,10000,QUASE_ORDENADA,0.59726,0.5518,0.6301,0.6921608679637009,0.6921608679637009,true
Quick Sort,Paralelo,2,10000,QUASE_ORDENADA,0.65328,0.6038,0.7325,0.6328067597354887,0.31640337986774436,true
Quick Sort,Paralelo,4,10000,QUASE_ORDENADA,0.5719799999999999,0.4881,0.6955,0.7227525437952378,0.18068813594880945,true
Quick Sort,Paralelo,8,10000,QUASE_ORDENADA,0.59948,0.4808,0.6537,0.6895976512977915,0.08619970641222394,true
Merge Sort,Paralelo,1,10000,QUASE_ORDENADA,0.55772,0.4719,0.6857,0.608262210428172,0.608262210428172,true
Merge Sort,Paralelo,2,10000,QUASE_ORDENADA,0.51546,0.4358,0.6106,0.6581306017925737,0.3290653008962868,true
Merge Sort,Paralelo,4,10000,QUASE_ORDENADA,0.4542,0.427,0.4771,0.7468956406869222,0.18672391017173054,true
Merge Sort,Paralelo,8,10000,QUASE_ORDENADA,0.47569999999999996,0.444,0.5404,0.7131385326886694,0.08914231658608368,true
