algoritmo,versao,threads,tamanhoEntrada,tipoEntrada,amostra,tempoMs,score,ordenadoCorretamente
"Quick Sort","Paralelo",8,10000,"ALEATORIA",2,0.7656,9477.512367889009,true
"Quick Sort","Paralelo",8,10000,"ALEATORIA",3,0.6532,9636.27760772875,true
"Quick Sort","Paralelo",8,10000,"ALEATORIA",4,0.6691,9612.229032931173,true
"Quick Sort","Paralelo",8,10000,"ALEATORIA",5,0.6555,9632.762895606258,true
"Merge Sort","Paralelo",1,10000,"ALEATORIA",1,0.8521,9370.476966494243,true
"Merge Sort","Paralelo",1,10000,"ALEATORIA",2,1.0607,9151.517368821871,true
"Merge Sort","Paralelo",1,10000,"ALEATORIA",3,1.024,9186.726240116344,true
"Merge Sort","Paralelo",1,10000,"ALEATORIA",4,1.2408,8994.708111398704,true
"Merge Sort","Paralelo",1,10000,"ALEATORIA",5,1.0969,9117.962036525523,true
"Merge Sort","Paralelo",2,10000,"ALEATORIA",1,1.2142,9016.376360891174,true
"Merge Sort","Paralelo",2,10000,"ALEATORIA",2,0.924,9289.475975048019,true
"Merge Sort","Paralelo",2,10000,"ALEATORIA",3,0.8687,9351.184675919465,true
"Merge Sort","Paralelo",2,10000,"ALEATORIA",4,0.9244,9289.04320828578,true
"Merge Sort","Paralelo",2,10000,"ALEATORIA",5,1.1581,9063.675444062526,true
"Merge Sort","Paralelo",4,10000,"ALEATORIA",1,0.9573,9254.074554424187,true
"Merge Sort","Paralelo",4,10000,"ALEATORIA",2,0.8306,9396.030376312376,true
"Merge Sort","Paralelo",4,10000,"ALEATORIA",3,0.8194,9409.60522248865,true
"Merge Sort","Paralelo",4,10000,"ALEATORIA",4,0.8607,9360.43570559908,true
"Merge Sort","Paralelo",4,10000,"ALEATORIA",5,0.8482,9375.064010320817,true
"Merge Sort","Paralelo",8,10000,"ALEATORIA",1,0.8137,9416.58526994535,true
"Merge Sort","Paralelo",8,10000,"ALEATORIA",2,1.1136,9102.8537151781,true
"Merge Sort","Paralelo",8,10000,"ALEATORIA",3,1.163,9059.453791677335,true
"Merge Sort","Paralelo",8,10000,"ALEATORIA",4,1.06,9152.177458234604,true
"Merge Sort","Paralelo",8,10000,"ALEATORIA",5,0.9224,9291.208917749624,true
"Bubble Sort","Serial",1,100000,"ALEATORIA",1,11330.9374,2284.970376001418,true
"Bubble Sort","Serial",1,100000,"ALEATORIA",2,13296.8297,2142.4855477849474,true
"Bubble Sort","Serial",1,100000,"ALEATORIA",3,11608.4086,2263.2666781624384,true
"Bubble Sort","Serial",1,100000,"ALEATORIA",4,13476.2056,2130.6675904720228,true
"Bubble Sort","Serial",1,100000,"ALEATORIA",5,13549.1699,2125.9106746324173,true
"Insertion Sort","Serial",1,100000,"ALEATORIA",1,884.0901,4737.168533507088,true
